	labels	sentence	index
0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Hypoxic events frequently occur in the aquatic environment in association with micro pollutants , including heavy metals .	22239943_s0
1	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Only a few studies are however available on the uptake and biological responses of heavy metals under hypoxic conditions .	22239943_s1
2	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	To elucidate the phenomenon , mirror carp Cyprinus carpio L .	22239943_s2
3	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	( 16.13-16.22 g ) were exposed chronically to dietary copper ( Cu ; 250 and 500 mg kg dry wt.(-1) ) for 30 d under normoxic ( 8.25 mg O(2) L(-1) ) and hypoxic ( mg O(2) L(-1) ) conditions and adopting an integrated approach , sub-lethal biomarker responses were determined at different levels of biological organisation .	22239943_s3
4	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Level of oxidative DNA damage ( as determined by modified Comet assay ) showed strong significant difference following exposure to dietary Cu level under normoxic ( 1.6-fold ) as well as under hypoxic condition at both Cu levels ( 2.1 and 2.5-folds respectively ) .	22239943_s4
7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The order of Cu accumulation in tissues ( as determined by ICP-OES ) was liver>intestine>kidney>gill .	22239943_s7
11	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	He was of Greek descent .	20839428_s1
14	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Several days before admission , chest radiography revealed pulmonary infiltrates in the left lower lobe .	20839428_s4
15	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	On admission , physical examination revealed a well-orientated man in mild distress , with inspiratory rhonchi at the lower part of the left lung and scattered erythematous nodules of variable size , some of which were ulcerated .	20839428_s5
16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Laboratory values were notable for leukopenia , 3.3 x 10(9)/L ; total protein , 5.9 g/dL ; globulin , 2.2 g/dL ; serum glutamic oxaloacetic transaminase , 86 IU/L ; serum glutamic pyruvic transaminase , 71 IU/L ; and lactate dehydrogenase , 519 U/L .	20839428_s6
17	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Computed tomograph ( CT ) of the chest showed multiple alveolar opacities bilaterally ( Figure 2 ) .	20839428_s7
18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Fiberoptic bronchoscopy did not reveal any important pathologic findings .	20839428_s8
19	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Results of bronchial biopsy , cytology of bronchoalveolar lavage , washing , brushing , and sputum following bronchoscopy were negative .	20839428_s9
20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	CT of the brai and sinonasal area revealed an abnormal low-density mass in the left nasal area .	20839428_s10
21	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	CT findings of the abdomen were negative , as were results of a bone marrow biopsy .	20839428_s11
22	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	There was no evidence of immunosuppression .	20839428_s12
23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The differential diagnosis , considering the evidence described , included granulomatous or infectious diseases , angiocentric lymphoproliferative lesions , and lymphomas .	20839428_s13
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	Biopsy of a skin lesion showed lymphoproliferative infiltration of the dermis with a follicular and angiocentric growth pattern and regional epidermal necrosis .	20839428_s14
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Immunohistochemical stains showed that the tumor cell were positive for CD56 and CD3 ( cytoplasmic positivity ) and expressed the cytotoxic proteins T-cell intracellular antigen and granzyme B ( Figure 3 ) They lacked TdT , CD34 , CD7 , CD8 , TCL-1 , and CD123 .	20839428_s15
26	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Findings from an in situ hybridization study for Epstein-Barr virus were negative .	20839428_s16
27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Give this result , molecular analysis ofT-cell receptor ( TCR ) gene rearrangements was performed using polymerase chain reaction-based TCR-gamma gene , wit negative results .	20839428_s17
29	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Nasal involvement must be first excluded to proceed to the diagnosis of nasal-type natural killer-cell lymphoma .	20839428_s19
30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Indeed , histologic examination of the nasal mass revealed its polypoid nature .	20839428_s20
32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The patient received combination chemotherapy and completed 4 cycles of cyclophosphamide , doxorubicin vincristine , and prednisone every 14 days for 2 months .	20839428_s22
33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Skin lesions improved , and there was no fever soon after the initiation of therapy .	20839428_s23
34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Reevaluatio after the fourth cycle , however , disclosed pulmonary infiltrations as well as leukemic infiltration of the central nervous system .	20839428_s24
35	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The patient had receive systemic salvage chemotherapy and intrathecal infusions of methotrexate .	20839428_s25
36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Although the lung lesions had diminished at that time , the patient develope paraplegia , his clinical course rapidly deteriorated , and he eventually died .	20839428_s26
37	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	MicroRNAs ( miRs ) are small non-coding RNAs that recently emerged as potent regulators of gene expression .	22797777_s0
38	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The members of the miR-17-92 cluster have been shown to control endothelial cell functions and neovascularization ; however , the regulation and function of the cluster in endothelial cell lineage commitment has not been explored .	22797777_s1
39	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	This project aimed to test the role of the miR-17-92 cluster during endothelial differentiation .	22797777_s2
40	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We demonstrate that miR-17 , miR-18 , miR-19 and miR-20 are increased upon the induction of endothelial cell differentiation of murine embryonic stem cells or induced pluripotent stem cells .	22797777_s3
41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In contrast , miR-92a and the primary miR-17-92 transcript were downregulated .	22797777_s4
42	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The inhibition of each individual miR of the cluster by cholesterol-modified antagomirs did not affect endothelial marker gene expression .	22797777_s5
43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Moreover , the combination of all antagomirs had no effect .	22797777_s6
45	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The solution structure of the complex of enzyme IIA of the N,N'-diacetylchitobiose ( Chb ) transporter with the histidine phosphocarrier protein HPr has been solved by NMR .	22593574_s0
46	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The IIA(Chb)-HPr complex completes the structure elucidation of representative cytoplasmic complexes for all four sugar branches of the bacterial phosphoryl transfer system ( PTS ) .	22593574_s1
47	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The active site His-89 of IIA(Chb) was mutated to Glu to mimic the phosphorylated state .	22593574_s2
48	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	IIA(Chb)(H89E) and HPr form a weak complex with a K(D) of mM .	22593574_s3
50	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The active site histidine of HPr , His-15 , is buried within the active site cleft of IIA(Chb) formed at the interface of two adjacent subunits of the IIA(Chb) trimer , thereby coming into close proximity with the active site residue , H89E , of IIA(Chb) .	22593574_s5
52	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Comparison of the IIA(Chb)-HPr complex with the IIA(Chb)-IIB(Chb) complex , as well as with other cytoplasmic complexes of the PTS , highlights a unifying mechanism for recognition of structurally diverse partners .	22593574_s7
53	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	This involves generating similar binding surfaces from entirely different underlying structural elements , large interaction surfaces coupled with extensive redundancy , and side chain conformational plasticity to optimize diverse sets of intermolecular interactions .	22593574_s8
54	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Immunosuppression of humoral and cellular responses following chronic oral exposure to 1 , 5 , 10 , and 20 ppm N-nitrosodimethylamine ( NDMA ) was examined in CD-1 mice .	1433375_s0
55	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Monitoring of cumulative mortality and the incidence of peritoneal ascites in animals showed an NDMA dose-related mortality and hepatotoxicity .	1433375_s1
56	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	No visible changes in immunological parameters were noted at the 1 ppm NDMA dose .	1433375_s2
57	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Immunosuppression of immunoglobulin M ( IgM ) antibody response by NDMA to sheep red blood cells ( SRBC ) was time-related , dose-related , and could be reversed within 30 d by removal of the chemical from the drinking water .	1433375_s3
58	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Cellular immune response , monitored by allogeneic stimulation of cells in mixed lymphocyte reaction ( MLR ) , was markedly suppressed by 10 and 20 ppm NDMA .	1433375_s4
