	labels	sentence	index
1	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Only a few studies are however available on the uptake and biological responses of heavy metals under hypoxic conditions .	22239943_s1
2	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	To elucidate the phenomenon , mirror carp Cyprinus carpio L .	22239943_s2
3	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	( 16.13-16.22 g ) were exposed chronically to dietary copper ( Cu ; 250 and 500 mg kg dry wt.(-1) ) for 30 d under normoxic ( 8.25 mg O(2) L(-1) ) and hypoxic ( mg O(2) L(-1) ) conditions and adopting an integrated approach , sub-lethal biomarker responses were determined at different levels of biological organisation .	22239943_s3
4	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Level of oxidative DNA damage ( as determined by modified Comet assay ) showed strong significant difference following exposure to dietary Cu level under normoxic ( 1.6-fold ) as well as under hypoxic condition at both Cu levels ( 2.1 and 2.5-folds respectively ) .	22239943_s4
5	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Significant difference was also observed for haematological parameters ( i.e. increased red and white blood cells , haematocrit value and haemoglobin concentration ) .	22239943_s5
6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Quantitative histology revealed alterations in tissues ( i.e. liver and gills ) for hypoxic and all dietary Cu treatment groups under both normoxic and hypoxic conditions suggesting a compensatory response to these organs ( p<0.05 ) .	22239943_s6
7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The order of Cu accumulation in tissues ( as determined by ICP-OES ) was liver>intestine>kidney>gill .	22239943_s7
8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Interestingly , SGR under both normoxic and hypoxic conditions reduced with elevating Cu levels ( p=0.019 ) .	22239943_s8
9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Overall , the results provide evidence for enhanced toxicological responses in fish following exposure to Cu either alone or in combination with hypoxic condition and lends support to the evolving viewpoint that many water quality guidelines should be revisited in terms of new ecotoxicological criteria .	22239943_s9
10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	A 51-year-old previously healthy man , an ex-smoker , was admitted to the authors ' medical department with a 3-month history of dry cough ; intermittent fever ; painless , ulcerated cutaneous lesions over the trunk and limbs ( Figure 1 ) ; and progressive weight loss .	20839428_s0
11	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	He was of Greek descent .	20839428_s1
12	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	His medical history was remarkable for nasal polyps , which were surgically removed 15 years earlier .	20839428_s2
13	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Initially , he had been treated with antibiotics , without improvement .	20839428_s3
15	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	On admission , physical examination revealed a well-orientated man in mild distress , with inspiratory rhonchi at the lower part of the left lung and scattered erythematous nodules of variable size , some of which were ulcerated .	20839428_s5
